"x","y_obs","weight","y_calc","y_bkg"
17.418,42.0,0.02381,49.541,44.757
17.434,61.0,0.01639,49.315,44.754
17.45,57.0,0.01754,49.105,44.751
17.466,39.0,0.02564,48.909,44.748
17.482,56.0,0.01786,48.727,44.745
17.498,71.0,0.01408,48.556,44.743
17.514,54.0,0.01852,48.396,44.74
17.53,56.0,0.01786,48.247,44.737
17.546,41.0,0.02439,48.106,44.734
17.562,49.0,0.02041,47.974,44.731
17.578,53.0,0.01887,47.85,44.728
17.594,51.0,0.01961,47.733,44.725
17.61,64.0,0.01562,47.623,44.722
17.626,49.0,0.02041,47.519,44.719
17.642,45.0,0.02222,47.421,44.716
17.658,60.0,0.01667,47.328,44.714
17.674,54.0,0.01852,47.24,44.711
17.69,35.0,0.02857,47.156,44.708
17.706,58.0,0.01724,47.077,44.705
17.722,58.0,0.01724,47.002,44.702
17.738,40.0,0.025,46.931,44.699
17.754,50.0,0.02,46.864,44.696
17.77,56.0,0.01786,46.799,44.693
17.786,61.0,0.01639,46.738,44.69
17.802,48.0,0.02083,46.68,44.687
17.818,47.0,0.02128,46.624,44.684
17.834,48.0,0.02083,46.571,44.681
17.85,48.0,0.02083,46.521,44.679
17.866,51.0,0.01961,46.473,44.676
17.882,57.0,0.01754,46.427,44.673
17.898,43.0,0.02326,46.383,44.67
17.914,48.0,0.02083,46.341,44.667
17.93,47.0,0.02128,46.302,44.664
17.946,37.0,0.02703,46.263,44.661
17.962,36.0,0.02778,46.227,44.658
17.978,41.0,0.02439,46.192,44.655
17.994,51.0,0.01961,46.159,44.652
18.01,41.0,0.02439,46.128,44.649
18.026,46.0,0.02174,46.098,44.646
18.042,43.0,0.02326,46.069,44.643
18.058,49.0,0.02041,46.041,44.64
18.074,45.0,0.02222,46.015,44.637
18.09,38.0,0.02632,45.99,44.634
18.106,40.0,0.025,45.967,44.631
18.122,42.0,0.02381,45.944,44.629
18.138,37.0,0.02703,45.923,44.626
18.154,41.0,0.02439,45.902,44.623
18.17,37.0,0.02703,45.883,44.62
